,SA2 Name,Median,weekly repayment(median)
0,Dawesville - Bouvard,2032.8859060402685,467.84223591063716
1,Falcon - Wannanup,1925.3333333333333,443.09041095890416
2,Greenfields,1562.3456790123457,359.5535261288686
3,Halls Head - Erskine,1976.1904761904761,454.79452054794524
4,Mandurah,1546.236559139785,355.84622182942996
5,Mandurah - East,1974.1379310344828,454.3221539914974
6,Mandurah - North,2040.4809619238476,469.59013918247456
7,Mandurah - South,1691.304347826087,389.2316855270995
8,Pinjarra,1865.0,429.20547945205476
9,City Beach,3645.5696202531644,838.9804057568925
10,Claremont (WA),2765.8536585365855,636.5252255262278
11,Cottesloe,3922.6190476190477,902.7397260273973
12,Floreat,3348.9583333333335,770.7191780821918
13,Mosman Park - Peppermint Grove,3109.6774193548385,715.6517896597436
14,Nedlands - Dalkeith - Crawley,3751.336898395722,863.3213683979196
15,Swanbourne - Mount Claremont,3399.3288590604025,782.3112990714351
16,Mount Hawthorn - Leederville,2517.1875,579.2979452054794
17,Mount Lawley - Inglewood,2194.915254237288,505.1311817970744
18,North Perth,2512.5,578.2191780821918
19,Perth City,2153.5816618911176,495.61879342151747
20,Subiaco - Shenton Park,2685.4545454545455,618.022415940224
21,Wembley - West Leederville - Glendalough,2156.2091503267975,496.2234756916465
22,Bassendean - Eden Hill - Ashfield,1947.1337579617834,448.10749498298577
23,Bayswater - Embleton - Bedford,2133.8753387533875,491.0836396035194
24,Maylands,2012.0603015075376,463.0494940455703
25,Morley,1957.3170731707316,450.45105245573006
26,Noranda,1972.857142857143,454.02739726027403
27,Chidlow,1964.516129032258,452.1078214759169
28,Glen Forrest - Darlington,2137.8205128205127,491.9915700737618
29,Helena Valley - Koongamia,2058.6206896551726,473.764761454889
30,Mundaring,2076.4462809917354,477.8670893241254
31,Swan View - Greenmount - Midvale,1785.929648241206,411.0084669924967
32,Ballajura,1833.6170212765958,421.98309530749054
33,Beechboro,2009.004739336493,462.34629617606964
34,Bullsbrook,2024.1379310344828,465.82900330656594
35,Ellenbrook,2125.198098256735,489.0866856262076
36,Gidgegannup,2156.818181818182,496.36363636363643
37,Hazelmere - Guildford,2048.4848484848485,471.4321295143213
38,Lockridge - Kiara,2005.3097345132744,461.4959389016851
39,Middle Swan - Herne Hill,1777.0114942528735,408.95606991025033
40,Midland - Guildford,1760.3174603174602,405.1141552511415
41,Stratton - Jane Brook,1833.9285714285713,422.0547945205479
42,The Vines,2336.1290322580644,537.6296950950066
43,Craigie - Beldon,1944.642857142857,447.5342465753425
44,Currambine - Kinross,2047.2222222222222,471.1415525114155
45,Duncraig,2211.0,508.83287671232875
46,Greenwood - Warwick,2063.4241245136186,474.87020947710676
47,Heathridge - Connolly,2024.3589743589744,465.87987355110636
48,Hillarys,2428.985507246377,558.9994044073854
49,Iluka - Burns Beach,2872.0,660.9534246575342
50,Joondalup - Edgewater,1984.4036697247707,456.68468015583767
51,Kingsley,2037.117903930131,468.81617515104386
52,Mullaloo - Kallaroo,2234.6153846153848,514.2676501580611
53,Ocean Reef,2369.230769230769,545.2476290832454
54,Padbury,2043.0379746835442,470.17860239292526
55,Sorrento - Marmion,2501.923076923077,575.7850368809274
56,Woodvale,2141.6666666666665,492.87671232876716
57,Balcatta - Hamersley,1976.2589928057555,454.8102887552972
58,Balga - Mirrabooka,1698.3870967741937,390.861688024746
59,Dianella,2074.404761904762,477.3972602739727
60,Innaloo - Doubleview,2287.7551020408164,526.4970645792563
61,Karrinyup - Gwelup - Carine,2449.1803278688526,563.6469795643386
62,Nollamara - Westminster,1895.7692307692307,436.2866174920969
63,Scarborough,2179.5081967213114,501.58544801257574
64,Stirling - Osborne Park,2123.121387283237,488.60875762134765
65,Trigg - North Beach - Watermans Bay,2733.3333333333335,629.041095890411
66,Tuart Hill - Joondanna,1952.9914529914531,449.45556726378646
67,Wembley Downs - Churchlands - Woodlands,2719.5876288659792,625.8777008897048
68,Yokine - Coolbinia - Menora,2091.3705583756346,481.3017175439817
69,Alexander Heights - Koondoola,1758.1920903954801,404.62502902252146
70,Butler - Merriwa - Ridgewood,2003.6163522012578,461.10622899974146
71,Carramar,2117.0250896057346,487.20577404625124
72,Clarkson,1972.0338983050847,453.8379382400743
73,Girrawheen,1603.5294117647059,369.0314262691378
74,Madeley - Darch - Landsdale,2233.0158730158732,513.8995433789955
75,Marangaroo,1827.6422764227643,420.60808553291014
76,Mindarie - Quinns Rocks - Jindalee,2309.8837209302324,531.589678241478
77,Tapping - Ashby - Sinagra,2211.214953271028,508.88234541031886
78,Wanneroo,2090.1192504258943,481.01374530349347
79,Alkimos - Eglinton,2276.0,523.7917808219178
80,Two Rocks,2080.6451612903224,478.8334069818825
81,Yanchep,2092.094861660079,481.4684065190319
82,Armadale - Wungong - Brookdale,1562.7027027027027,359.6356904850056
83,Camillo - Champion Lakes,1595.4545454545455,367.173100871731
84,Forrestdale - Harrisdale - Piara Waters,2317.296222664016,533.2955690514448
85,Kelmscott,1682.7380952380952,387.2602739726027
86,Mount Nasura - Mount Richon - Bedfordale,2081.764705882353,479.0910556003223
87,Roleystone,2125.0,489.041095890411
88,Seville Grove,1797.1119133574007,413.5819197863607
89,Belmont - Ascot - Redcliffe,2037.0689655172414,468.80491261218714
90,East Victoria Park - Carlisle,2108.2758620689656,485.1922531884743
91,Rivervale - Kewdale - Cloverdale,1982.4742268041236,456.24064397683946
92,Victoria Park - Lathlain - Burswood,2118.407960199005,487.5240237170313
93,Bentley - Wilson - St James,2034.375,468.18493150684935
94,Canning Vale - West,2121.134020618557,488.15139104646244
95,Cannington - Queens Park,1943.455497382199,447.26099117836907
96,Parkwood - Ferndale - Lynwood,1797.7900552486187,413.7379853174903
97,Riverton - Shelley - Rossmoyne,2187.2611464968154,503.36968850885614
98,Willetton,2077.777777777778,478.17351598173514
99,Beckenham - Kenwick - Langford,1726.158940397351,397.2530164202123
100,Canning Vale - East,2121.684210526316,488.27801009372746
101,Gosnells,1669.0821256038648,384.1175302759579
102,Huntingdale - Southern River,2097.741273100616,482.7678546313747
103,Maddington - Orange Grove - Martin,1718.3760683760684,395.46188970846504
104,Thornlie,1785.558583106267,410.9230711806203
105,Forrestfield - Wattle Grove,2031.4977973568282,467.5227807615714
106,High Wycombe,1965.9863945578231,452.44618395303326
107,Kalamunda - Maida Vale - Gooseberry Hill,2148.0,494.3342465753425
108,Lesmurdie - Bickley - Carmel,2101.1363636363635,483.5491905354918
109,Byford,2092.147435897436,481.48050579557435
110,Mundijong,2250.0,517.8082191780823
111,Serpentine - Jarrahdale,2100.0,483.28767123287673
112,Como,2164.2105263157896,498.0648882480173
113,Manning - Waterford,2596.551724137931,597.5625885687293
114,South Perth - Kensington,2473.134328358209,569.1596810468208
115,Banjup,2178.5714285714284,501.3698630136986
116,Coogee,2255.714285714286,519.1232876712329
117,Coolbellup,1907.3170731707316,438.94420314066156
118,Hamilton Hill,1900.0,437.26027397260276
119,North Coogee,3068.75,706.2328767123288
120,South Lake - Cockburn Central,1822.3880597014925,419.3988959313024
121,Spearwood,2014.1104294478528,463.5213043112867
122,Success - Hammond Park,2196.457765667575,505.48617072897616
123,Yangebup,2003.5175879396984,461.083499690232
124,Beeliar - Wattleup,2173.2323232323233,500.14113740141147
125,Jandakot,2171.0526315789475,499.6395097332372
126,East Fremantle,2571.4285714285716,591.7808219178082
127,Fremantle,2235.0,514.3561643835617
128,Fremantle - South,2128.8888888888887,489.93607305936064
129,Bertram - Wellard (West),2050.935550935551,471.9961267906473
130,Calista,1513.6904761904761,348.35616438356163
131,Parmelia - Orelia,1514.090909090909,348.44831880448316
132,Casuarina - Wandi,2282.7956989247314,525.355722492267
133,Applecross - Ardross,3002.659574468085,691.0230253570387
134,Bateman,2231.5789473684213,513.5688536409517
135,Bicton - Palmyra,2176.7441860465115,500.94934692577255
136,Booragoon,2533.3333333333335,583.013698630137
137,Bull Creek,2121.4285714285716,488.21917808219183
138,Leeming,2121.6216216216217,488.2636060718253
139,Melville,2456.842105263158,565.410237923576
140,Murdoch - Kardinya,2065.034965034965,475.24092346010144
141,Willagee,2124.6913580246915,488.9700659563674
142,Winthrop,2242.8571428571427,516.1643835616438
143,Baldivis,2132.6750448833036,490.8074075895822
144,Cooloongup,1526.751592356688,351.36201029578575
145,Port Kennedy,1886.2385321100917,434.0932512253362
146,Rockingham,1715.1315789473683,394.7152126892574
147,Safety Bay - Shoalwater,1850.4273504273503,425.8517737969792
148,Singleton - Golden Bay - Secret Harbour,2136.5348399246705,491.6956891881433
149,Waikiki,1795.6521739130435,413.2459797498511
150,Warnbro,1712.719298245614,394.1600576784426
