,SA2 Name,$1-$74,$75-$99,$100-$124,$125-$149,$150-$174,$175-$199,$200-$224,$225-$249,$250-$274,$275-$299,$300-$324,$325-$349,$350-$374,$375-$399,$400-$424,$425-$449,$450-$549,$550-$649,$650-$749,$750-$849,$850-$949,$950 and over,Total,Median
73,Marangaroo,7.0,4.0,40.0,15.0,26.0,12.0,17.0,4.0,9.0,6.0,42.0,24.0,95.0,52.0,103.0,31.0,86.0,14.0,3.0,0.0,0.0,0.0,590.0,373.5526315789474
74,Mindarie - Quinns Rocks - Jindalee,7.0,3.0,20.0,14.0,20.0,7.0,24.0,6.0,26.0,13.0,68.0,55.0,144.0,103.0,163.0,68.0,262.0,146.0,55.0,29.0,10.0,10.0,1253.0,417.9447852760736
75,Tapping - Ashby - Sinagra,3.0,0.0,3.0,5.0,9.0,3.0,3.0,3.0,3.0,4.0,27.0,22.0,49.0,37.0,126.0,36.0,307.0,50.0,8.0,0.0,3.0,4.0,705.0,456.51465798045604
76,Wanneroo,4.0,9.0,39.0,20.0,46.0,34.0,33.0,13.0,41.0,36.0,109.0,59.0,227.0,177.0,311.0,130.0,379.0,52.0,12.0,3.0,5.0,0.0,1739.0,401.8488745980707
77,Alkimos - Eglinton,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,32.0,133.0,68.0,156.0,88.0,100.0,22.0,59.0,9.0,0.0,0.0,0.0,0.0,675.0,365.5448717948718
78,Two Rocks,0.0,0.0,0.0,0.0,4.0,0.0,9.0,8.0,18.0,9.0,29.0,21.0,28.0,13.0,14.0,6.0,9.0,5.0,0.0,0.0,0.0,0.0,173.0,336.9047619047619
79,Yanchep,0.0,0.0,3.0,5.0,7.0,0.0,15.0,0.0,33.0,29.0,110.0,62.0,138.0,64.0,86.0,25.0,49.0,14.0,0.0,0.0,0.0,0.0,640.0,360.2355072463768
80,Armadale - Wungong - Brookdale,29.0,40.0,130.0,66.0,89.0,39.0,85.0,63.0,260.0,247.0,465.0,227.0,315.0,104.0,82.0,11.0,32.0,13.0,3.0,0.0,0.0,11.0,2311.0,305.80645161290323
81,Camillo - Champion Lakes,7.0,3.0,17.0,10.0,19.0,20.0,17.0,11.0,27.0,50.0,105.0,48.0,60.0,18.0,34.0,3.0,19.0,0.0,3.0,0.0,0.0,3.0,474.0,313.45238095238096
82,Forrestdale - Harrisdale - Piara Waters,3.0,4.0,3.0,5.0,8.0,3.0,9.0,3.0,9.0,5.0,25.0,22.0,93.0,121.0,211.0,105.0,347.0,55.0,14.0,5.0,3.0,0.0,1053.0,425.7142857142857
83,Kelmscott,7.0,12.0,32.0,15.0,37.0,31.0,49.0,19.0,66.0,66.0,227.0,122.0,171.0,49.0,42.0,3.0,14.0,4.0,7.0,0.0,0.0,0.0,973.0,316.85022026431716
84,Mount Nasura - Mount Richon - Bedfordale,0.0,0.0,4.0,0.0,14.0,0.0,11.0,0.0,10.0,9.0,23.0,22.0,30.0,16.0,26.0,3.0,28.0,14.0,0.0,0.0,0.0,0.0,210.0,360.4166666666667
85,Roleystone,0.0,0.0,13.0,4.0,8.0,8.0,6.0,3.0,8.0,4.0,11.0,3.0,3.0,5.0,21.0,4.0,29.0,9.0,0.0,0.0,0.0,0.0,139.0,366.6666666666667
86,Seville Grove,3.0,0.0,14.0,11.0,20.0,15.0,18.0,7.0,48.0,20.0,98.0,80.0,129.0,72.0,93.0,19.0,34.0,3.0,0.0,0.0,0.0,0.0,684.0,351.64728682170545
87,Belmont - Ascot - Redcliffe,32.0,42.0,164.0,46.0,69.0,42.0,48.0,30.0,43.0,57.0,156.0,83.0,202.0,117.0,248.0,100.0,316.0,47.0,23.0,8.0,4.0,7.0,1884.0,366.1509900990099
88,East Victoria Park - Carlisle,38.0,46.0,174.0,49.0,61.0,49.0,104.0,54.0,100.0,81.0,227.0,104.0,251.0,189.0,351.0,137.0,430.0,105.0,31.0,12.0,0.0,10.0,2603.0,371.41434262948206
89,Rivervale - Kewdale - Cloverdale,36.0,63.0,241.0,93.0,114.0,74.0,124.0,84.0,144.0,152.0,391.0,205.0,496.0,273.0,446.0,174.0,657.0,124.0,13.0,4.0,11.0,11.0,3930.0,362.32358870967744
90,Victoria Park - Lathlain - Burswood,14.0,15.0,59.0,62.0,35.0,34.0,81.0,112.0,199.0,130.0,254.0,131.0,252.0,179.0,244.0,93.0,451.0,200.0,92.0,37.0,17.0,21.0,2712.0,372.8670634920635
91,Bentley - Wilson - St James,74.0,52.0,300.0,167.0,247.0,93.0,101.0,60.0,89.0,86.0,213.0,143.0,274.0,220.0,313.0,107.0,415.0,112.0,42.0,22.0,12.0,17.0,3159.0,342.13286713286715
92,Canning Vale - West,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,7.0,11.0,0.0,5.0,10.0,43.0,25.0,154.0,59.0,11.0,3.0,0.0,4.0,341.0,489.61038961038963
93,Cannington - Queens Park,25.0,21.0,79.0,38.0,78.0,35.0,75.0,25.0,71.0,62.0,199.0,147.0,450.0,293.0,400.0,120.0,297.0,26.0,9.0,7.0,3.0,11.0,2471.0,371.1666666666667
94,Parkwood - Ferndale - Lynwood,9.0,7.0,33.0,25.0,25.0,13.0,35.0,13.0,47.0,27.0,132.0,107.0,178.0,100.0,157.0,41.0,97.0,13.0,3.0,0.0,0.0,7.0,1069.0,358.70786516853934
95,Riverton - Shelley - Rossmoyne,5.0,3.0,24.0,20.0,23.0,0.0,28.0,12.0,23.0,17.0,98.0,44.0,106.0,68.0,141.0,59.0,233.0,73.0,42.0,8.0,3.0,9.0,1039.0,408.68794326241135
96,Willetton,3.0,21.0,36.0,19.0,19.0,11.0,15.0,5.0,17.0,7.0,41.0,27.0,99.0,93.0,179.0,76.0,303.0,99.0,14.0,3.0,3.0,3.0,1093.0,418.7150837988827
97,Beckenham - Kenwick - Langford,21.0,10.0,91.0,35.0,52.0,17.0,62.0,42.0,86.0,105.0,285.0,142.0,276.0,167.0,212.0,47.0,145.0,13.0,3.0,0.0,4.0,3.0,1818.0,343.2218309859155
98,Canning Vale - East,4.0,3.0,9.0,3.0,10.0,5.0,12.0,9.0,6.0,3.0,21.0,20.0,82.0,99.0,195.0,131.0,478.0,79.0,7.0,4.0,3.0,7.0,1190.0,446.85114503816794
99,Gosnells,26.0,39.0,81.0,48.0,111.0,71.0,75.0,46.0,118.0,114.0,371.0,193.0,336.0,115.0,140.0,23.0,56.0,3.0,0.0,4.0,0.0,4.0,1974.0,317.4191374663073
100,Huntingdale - Southern River,4.0,0.0,6.0,10.0,17.0,21.0,24.0,9.0,30.0,11.0,55.0,41.0,105.0,81.0,175.0,55.0,270.0,44.0,0.0,0.0,0.0,3.0,961.0,409.57142857142856
101,Maddington - Orange Grove - Martin,6.0,15.0,33.0,36.0,86.0,26.0,57.0,31.0,69.0,70.0,173.0,86.0,184.0,90.0,78.0,20.0,41.0,8.0,0.0,3.0,0.0,6.0,1118.0,318.85838150289015
102,Thornlie,9.0,18.0,32.0,32.0,39.0,41.0,51.0,35.0,61.0,49.0,161.0,111.0,252.0,158.0,206.0,62.0,183.0,4.0,3.0,3.0,0.0,5.0,1515.0,361.80555555555554
103,Forrestfield - Wattle Grove,11.0,13.0,44.0,26.0,45.0,30.0,33.0,20.0,31.0,27.0,102.0,60.0,158.0,120.0,173.0,63.0,246.0,31.0,5.0,0.0,3.0,3.0,1244.0,379.6875
104,High Wycombe,4.0,0.0,16.0,16.0,21.0,8.0,24.0,18.0,30.0,9.0,49.0,37.0,125.0,88.0,158.0,59.0,188.0,11.0,3.0,0.0,0.0,3.0,867.0,396.875
105,Kalamunda - Maida Vale - Gooseberry Hill,6.0,6.0,27.0,13.0,7.0,13.0,15.0,19.0,20.0,12.0,44.0,36.0,59.0,34.0,94.0,27.0,119.0,23.0,13.0,11.0,0.0,0.0,598.0,391.54411764705884
106,Lesmurdie - Bickley - Carmel,3.0,0.0,15.0,14.0,27.0,15.0,11.0,6.0,7.0,7.0,35.0,16.0,43.0,9.0,44.0,11.0,71.0,28.0,4.0,7.0,0.0,0.0,373.0,368.0232558139535
107,Byford,3.0,0.0,3.0,3.0,7.0,7.0,6.0,0.0,12.0,6.0,48.0,35.0,126.0,102.0,159.0,70.0,115.0,13.0,0.0,0.0,0.0,0.0,715.0,400.0
108,Mundijong,3.0,3.0,6.0,0.0,7.0,0.0,14.0,5.0,14.0,10.0,14.0,4.0,23.0,8.0,20.0,3.0,34.0,18.0,6.0,3.0,0.0,3.0,198.0,371.19565217391306
109,Serpentine - Jarrahdale,0.0,0.0,10.0,0.0,10.0,6.0,8.0,7.0,6.0,9.0,15.0,3.0,11.0,4.0,11.0,4.0,10.0,11.0,0.0,0.0,0.0,3.0,128.0,314.1666666666667
110,Como,14.0,32.0,91.0,29.0,73.0,32.0,46.0,19.0,101.0,84.0,257.0,149.0,268.0,176.0,283.0,86.0,372.0,139.0,58.0,25.0,23.0,20.0,2377.0,374.44029850746267
111,Manning - Waterford,20.0,21.0,99.0,48.0,64.0,28.0,37.0,12.0,34.0,11.0,34.0,32.0,48.0,44.0,61.0,28.0,140.0,62.0,42.0,24.0,13.0,12.0,914.0,359.1145833333333
112,South Perth - Kensington,22.0,21.0,62.0,21.0,55.0,22.0,52.0,21.0,66.0,92.0,234.0,157.0,244.0,186.0,234.0,92.0,429.0,212.0,99.0,77.0,28.0,56.0,2482.0,398.18548387096774
113,Banjup,3.0,0.0,5.0,10.0,9.0,3.0,14.0,7.0,15.0,8.0,40.0,22.0,68.0,72.0,175.0,105.0,427.0,65.0,12.0,0.0,0.0,5.0,1065.0,444.5238095238095
114,Coogee,3.0,0.0,11.0,0.0,7.0,22.0,12.0,0.0,13.0,9.0,28.0,3.0,26.0,28.0,52.0,17.0,122.0,48.0,18.0,0.0,3.0,0.0,422.0,423.7980769230769
115,Coolbellup,23.0,28.0,117.0,17.0,57.0,20.0,40.0,13.0,36.0,30.0,80.0,55.0,127.0,60.0,94.0,20.0,89.0,15.0,0.0,0.0,0.0,0.0,921.0,325.0
116,Hamilton Hill,23.0,22.0,102.0,41.0,79.0,39.0,65.0,38.0,81.0,47.0,144.0,86.0,170.0,102.0,137.0,47.0,147.0,22.0,3.0,3.0,0.0,0.0,1398.0,330.3779069767442
117,North Coogee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,13.0,20.0,16.0,18.0,7.0,34.0,31.0,24.0,27.0,10.0,8.0,212.0,533.8235294117648
118,South Lake - Cockburn Central,10.0,12.0,50.0,23.0,27.0,14.0,29.0,11.0,44.0,25.0,83.0,53.0,130.0,115.0,186.0,68.0,168.0,21.0,5.0,3.0,0.0,3.0,1080.0,381.4130434782609
119,Spearwood,5.0,9.0,38.0,19.0,30.0,28.0,32.0,28.0,56.0,42.0,124.0,69.0,158.0,91.0,182.0,48.0,110.0,6.0,0.0,0.0,0.0,3.0,1078.0,359.4145569620253
120,Success - Hammond Park,5.0,5.0,11.0,4.0,14.0,10.0,10.0,10.0,17.0,21.0,34.0,41.0,136.0,108.0,204.0,108.0,423.0,57.0,5.0,3.0,3.0,6.0,1235.0,423.52941176470586
121,Yangebup,11.0,9.0,45.0,14.0,22.0,11.0,19.0,4.0,13.0,3.0,35.0,20.0,69.0,30.0,73.0,26.0,66.0,10.0,4.0,0.0,0.0,0.0,484.0,363.22463768115944
122,Beeliar - Wattleup,3.0,3.0,26.0,10.0,21.0,15.0,18.0,8.0,9.0,15.0,32.0,8.0,56.0,45.0,81.0,29.0,154.0,34.0,8.0,0.0,0.0,0.0,575.0,405.8641975308642
123,East Fremantle,6.0,10.0,26.0,3.0,9.0,11.0,11.0,7.0,24.0,20.0,45.0,26.0,34.0,23.0,48.0,14.0,113.0,52.0,46.0,26.0,9.0,17.0,580.0,418.4895833333333
124,Fremantle,53.0,68.0,225.0,65.0,73.0,37.0,59.0,26.0,84.0,65.0,133.0,66.0,114.0,71.0,116.0,46.0,349.0,251.0,115.0,67.0,29.0,51.0,2163.0,379.92957746478874
125,Fremantle - South,29.0,42.0,151.0,60.0,88.0,48.0,67.0,23.0,55.0,46.0,75.0,48.0,96.0,66.0,131.0,44.0,250.0,115.0,48.0,15.0,14.0,12.0,1523.0,357.8125
126,Bertram - Wellard (West),3.0,3.0,16.0,3.0,19.0,11.0,27.0,5.0,45.0,30.0,64.0,94.0,229.0,162.0,209.0,60.0,73.0,4.0,3.0,0.0,0.0,0.0,1060.0,372.98034934497815
127,Calista,14.0,8.0,36.0,42.0,47.0,30.0,40.0,30.0,73.0,72.0,178.0,71.0,105.0,42.0,25.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,829.0,303.2303370786517
128,Parmelia - Orelia,17.0,18.0,76.0,44.0,52.0,35.0,70.0,41.0,135.0,105.0,198.0,101.0,129.0,55.0,38.0,9.0,9.0,6.0,0.0,0.0,0.0,0.0,1138.0,294.4047619047619
129,Casuarina - Wandi,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,4.0,12.0,8.0,39.0,43.0,68.0,16.0,43.0,16.0,7.0,0.0,0.0,0.0,265.0,406.61764705882354
130,Applecross - Ardross,0.0,3.0,7.0,5.0,3.0,4.0,15.0,4.0,17.0,25.0,46.0,41.0,71.0,39.0,81.0,34.0,221.0,117.0,73.0,54.0,33.0,70.0,963.0,489.3665158371041
131,Bateman,3.0,5.0,8.0,7.0,6.0,5.0,3.0,0.0,4.0,4.0,12.0,6.0,20.0,8.0,30.0,11.0,88.0,38.0,12.0,0.0,3.0,0.0,273.0,455.6818181818182
132,Bicton - Palmyra,11.0,23.0,86.0,47.0,41.0,21.0,65.0,18.0,49.0,30.0,95.0,66.0,161.0,91.0,193.0,48.0,222.0,86.0,37.0,18.0,4.0,16.0,1428.0,375.4120879120879
133,Booragoon,10.0,9.0,53.0,24.0,38.0,21.0,23.0,16.0,36.0,14.0,66.0,48.0,99.0,81.0,117.0,48.0,252.0,133.0,68.0,46.0,19.0,40.0,1261.0,419.87179487179486
134,Bull Creek,0.0,8.0,24.0,12.0,12.0,5.0,4.0,3.0,3.0,3.0,17.0,8.0,32.0,32.0,65.0,34.0,163.0,39.0,8.0,3.0,0.0,0.0,475.0,432.3529411764706
135,Leeming,0.0,0.0,9.0,3.0,11.0,0.0,9.0,0.0,5.0,7.0,10.0,9.0,21.0,26.0,56.0,23.0,175.0,72.0,15.0,3.0,0.0,0.0,454.0,472.0
136,Melville,6.0,4.0,18.0,13.0,18.0,13.0,26.0,14.0,44.0,17.0,68.0,38.0,92.0,66.0,134.0,48.0,221.0,108.0,56.0,31.0,14.0,31.0,1080.0,419.30970149253733
137,Murdoch - Kardinya,3.0,6.0,19.0,12.0,23.0,9.0,11.0,9.0,13.0,7.0,48.0,33.0,66.0,55.0,97.0,56.0,217.0,90.0,20.0,8.0,3.0,4.0,809.0,423.45360824742266
138,Willagee,22.0,19.0,129.0,34.0,50.0,17.0,26.0,9.0,8.0,20.0,36.0,24.0,47.0,31.0,57.0,14.0,66.0,20.0,0.0,0.0,3.0,0.0,632.0,278.125
139,Winthrop,0.0,0.0,3.0,0.0,3.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,0.0,41.0,52.0,24.0,8.0,3.0,4.0,157.0,575.0
140,Baldivis,3.0,3.0,9.0,8.0,33.0,8.0,45.0,34.0,74.0,27.0,151.0,142.0,428.0,324.0,521.0,158.0,302.0,30.0,13.0,11.0,0.0,10.0,2334.0,390.625
141,Cooloongup,3.0,3.0,26.0,19.0,39.0,21.0,43.0,15.0,52.0,63.0,167.0,86.0,132.0,46.0,42.0,3.0,9.0,0.0,0.0,0.0,0.0,4.0,773.0,315.4191616766467
142,Port Kennedy,0.0,5.0,18.0,9.0,18.0,12.0,21.0,27.0,32.0,25.0,65.0,69.0,197.0,141.0,182.0,46.0,91.0,10.0,0.0,0.0,0.0,0.0,968.0,373.28680203045684
143,Rockingham,16.0,22.0,88.0,44.0,99.0,47.0,91.0,95.0,311.0,199.0,287.0,129.0,217.0,139.0,173.0,55.0,90.0,22.0,6.0,4.0,0.0,11.0,2145.0,305.3135888501742
144,Safety Bay - Shoalwater,11.0,10.0,48.0,16.0,21.0,13.0,66.0,68.0,138.0,93.0,179.0,87.0,149.0,82.0,91.0,32.0,50.0,9.0,3.0,0.0,0.0,3.0,1169.0,314.10614525139664
145,Singleton - Golden Bay - Secret Harbour,5.0,0.0,4.0,7.0,9.0,4.0,12.0,19.0,53.0,22.0,102.0,79.0,215.0,164.0,231.0,70.0,212.0,47.0,10.0,5.0,3.0,0.0,1273.0,391.1585365853659
146,Waikiki,12.0,10.0,32.0,15.0,37.0,14.0,25.0,31.0,55.0,36.0,137.0,98.0,172.0,127.0,105.0,41.0,54.0,3.0,0.0,0.0,0.0,3.0,1007.0,350.2906976744186
147,Warnbro,0.0,11.0,48.0,22.0,35.0,17.0,31.0,15.0,35.0,56.0,154.0,103.0,203.0,88.0,77.0,22.0,36.0,6.0,0.0,0.0,0.0,6.0,965.0,339.3203883495146
